Period,Balance
2005-01,-55561
2005-02,-57454
2005-03,-52619
2005-04,-57115
2005-05,-56264
2005-06,-58260
2005-07,-58063
2005-08,-58388
2005-09,-64923
2005-10,-67140
2005-11,-64090
2005-12,-64366
2006-01,-66680
2006-02,-62851
2006-03,-62574
2006-04,-62844
2006-05,-64844
2006-06,-63481
2006-07,-66525
2006-08,-67823
2006-09,-64936
2006-10,-58990
2006-11,-58575
2006-12,-61592
2007-01,-57656
2007-02,-58478
2007-03,-61797
2007-04,-60514
2007-05,-59288
2007-06,-59520
2007-07,-59914
2007-08,-57005
2007-09,-57794
2007-10,-56538
2007-11,-59717
2007-12,-57154
2008-01,-61139
2008-02,-64348
2008-03,-60064
2008-04,-63528
2008-05,-62151
2008-06,-60670
2008-07,-66842
2008-08,-62108
2008-09,-60499
2008-10,-60191
2008-11,-44724
2008-12,-42463
2009-01,-37842
2009-02,-27767
2009-03,-29162
2009-04,-29705
2009-05,-25372
2009-06,-26367
2009-07,-32790
2009-08,-31267
2009-09,-34491
2009-10,-33826
2009-11,-37203
2009-12,-37983
2010-01,-37154
2010-02,-41034
2010-03,-39766
2010-04,-40864
2010-05,-41333
2010-06,-46557
2010-07,-40413
2010-08,-44921
2010-09,-44042
2010-10,-39998
2010-11,-37762
2010-12,-40815
2011-01,-47123
2011-02,-43718
2011-03,-43478
2011-04,-42227
2011-05,-47220
2011-06,-49433
2011-07,-45689
2011-08,-44968
2011-09,-43305
2011-10,-44962
2011-11,-47044
2011-12,-49460
2012-01,-50983
2012-02,-43570
2012-03,-50218
2012-04,-47254
2012-05,-45970
2012-06,-43460
2012-07,-43370
2012-08,-44107
2012-09,-40064
2012-10,-43041
2012-11,-46667
2012-12,-38070
2013-01,-41043
2013-02,-42618
2013-03,-35949
2013-04,-38927
2013-05,-42839
2013-06,-35965
2013-07,-37670
2013-08,-38083
2013-09,-41317
2013-10,-37801
2013-11,-34851
2013-12,-34813
2014-01,-38834
2014-02,-40825
2014-03,-40855
2014-04,-44019
2014-05,-41075
2014-06,-40740
2014-07,-39287
2014-08,-38441
2014-09,-41687
2014-10,-41024
2014-11,-39640
2014-12,-43749
2015-01,-42057
2015-02,-36268
2015-03,-48189
2015-04,-40885
2015-05,-40170
2015-06,-42973
2015-07,-39900
2015-08,-44639
2015-09,-41072
2015-10,-41600
2015-11,-41122
2015-12,-41487
2016-01,-42308
2016-02,-44028
2016-03,-35536
2016-04,-37436
