Period,Balance
2005 Jan,-55561
2005 Feb,-57454
2005 Mar,-52619
2005 Apr,-57115
2005 May,-56264
2005 Jun,-58260
2005 Jul,-58063
2005 Aug,-58388
2005 Sep,-64923
2005 Oct,-67140
2005 Nov,-64090
2005 Dec,-64366
2006 Jan,-66680
2006 Feb,-62851
2006 Mar,-62574
2006 Apr,-62844
2006 May,-64844
2006 Jun,-63481
2006 Jul,-66525
2006 Aug,-67823
2006 Sep,-64936
2006 Oct,-58990
2006 Nov,-58575
2006 Dec,-61592
2007 Jan,-57656
2007 Feb,-58478
2007 Mar,-61797
2007 Apr,-60514
2007 May,-59288
2007 Jun,-59520
2007 Jul,-59914
2007 Aug,-57005
2007 Sep,-57794
2007 Oct,-56538
2007 Nov,-59717
2007 Dec,-57154
2008 Jan,-61139
2008 Feb,-64348
2008 Mar,-60064
2008 Apr,-63528
2008 May,-62151
2008 Jun,-60670
2008 Jul,-66842
2008 Aug,-62108
2008 Sep,-60499
2008 Oct,-60191
2008 Nov,-44724
2008 Dec,-42463
2009 Jan,-37842
2009 Feb,-27767
2009 Mar,-29162
2009 Apr,-29705
2009 May,-25372
2009 Jun,-26367
2009 Jul,-32790
2009 Aug,-31267
2009 Sep,-34491
2009 Oct,-33826
2009 Nov,-37203
2009 Dec,-37983
2010 Jan,-37154
2010 Feb,-41034
2010 Mar,-39766
2010 Apr,-40864
2010 May,-41333
2010 Jun,-46557
2010 Jul,-40413
2010 Aug,-44921
2010 Sep,-44042
2010 Oct,-39998
2010 Nov,-37762
2010 Dec,-40815
2011 Jan,-47123
2011 Feb,-43718
2011 Mar,-43478
2011 Apr,-42227
2011 May,-47220
2011 Jun,-49433
2011 Jul,-45689
2011 Aug,-44968
2011 Sep,-43305
2011 Oct,-44962
2011 Nov,-47044
2011 Dec,-49460
2012 Jan,-50983
2012 Feb,-43570
2012 Mar,-50218
2012 Apr,-47254
2012 May,-45970
2012 Jun,-43460
2012 Jul,-43370
2012 Aug,-44107
2012 Sep,-40064
2012 Oct,-43041
2012 Nov,-46667
2012 Dec,-38070
2013 Jan,-41043
2013 Feb,-42618
2013 Mar,-35949
2013 Apr,-38927
2013 May,-42839
2013 Jun,-35965
2013 Jul,-37670
2013 Aug,-38083
2013 Sep,-41317
2013 Oct,-37801
2013 Nov,-34851
2013 Dec,-34813
2014 Jan,-38834
2014 Feb,-40825
2014 Mar,-40855
2014 Apr,-44019
2014 May,-41075
2014 Jun,-40740
2014 Jul,-39287
2014 Aug,-38441
2014 Sep,-41687
2014 Oct,-41024
2014 Nov,-39640
2014 Dec,-43749
2015 Jan,-42057
2015 Feb,-36268
2015 Mar,-48189
2015 Apr,-40885
2015 May,-40170
2015 Jun,-42973
2015 Jul,-39900
2015 Aug,-44639
2015 Sep,-41072
2015 Oct,-41600
2015 Nov,-41122
2015 Dec,-41487
2016 Jan,-42308
2016 Feb,-44028
2016 Mar,-35536
2016 Apr,-37436
