Period,Balance
2005 Jan,-55.56
2005 Feb,-57.45
2005 Mar,-52.62
2005 Apr,-57.12
2005 May,-56.26
2005 Jun,-58.26
2005 Jul,-58.06
2005 Aug,-58.39
2005 Sep,-64.92
2005 Oct,-67.14
2005 Nov,-64.09
2005 Dec,-64.37
2006 Jan,-66.68
2006 Feb,-62.85
2006 Mar,-62.57
2006 Apr,-62.84
2006 May,-64.84
2006 Jun,-63.48
2006 Jul,-66.53
2006 Aug,-67.82
2006 Sep,-64.94
2006 Oct,-58.99
2006 Nov,-58.58
2006 Dec,-61.59
2007 Jan,-57.66
2007 Feb,-58.48
2007 Mar,-61.8
2007 Apr,-60.51
2007 May,-59.29
2007 Jun,-59.52
2007 Jul,-59.91
2007 Aug,-57.01
2007 Sep,-57.79
2007 Oct,-56.54
2007 Nov,-59.72
2007 Dec,-57.15
2008 Jan,-61.14
2008 Feb,-64.35
2008 Mar,-60.06
2008 Apr,-63.53
2008 May,-62.15
2008 Jun,-60.67
2008 Jul,-66.84
2008 Aug,-62.11
2008 Sep,-60.5
2008 Oct,-60.19
2008 Nov,-44.72
2008 Dec,-42.46
2009 Jan,-37.84
2009 Feb,-27.77
2009 Mar,-29.16
2009 Apr,-29.71
2009 May,-25.37
2009 Jun,-26.37
2009 Jul,-32.79
2009 Aug,-31.27
2009 Sep,-34.49
2009 Oct,-33.83
2009 Nov,-37.2
2009 Dec,-37.98
2010 Jan,-37.15
2010 Feb,-41.03
2010 Mar,-39.77
2010 Apr,-40.86
2010 May,-41.33
2010 Jun,-46.56
2010 Jul,-40.41
2010 Aug,-44.92
2010 Sep,-44.04
2010 Oct,-40
2010 Nov,-37.76
2010 Dec,-40.82
2011 Jan,-47.12
2011 Feb,-43.72
2011 Mar,-43.48
2011 Apr,-42.23
2011 May,-47.22
2011 Jun,-49.43
2011 Jul,-45.69
2011 Aug,-44.97
2011 Sep,-43.31
2011 Oct,-44.96
2011 Nov,-47.04
2011 Dec,-49.46
2012 Jan,-50.98
2012 Feb,-43.57
2012 Mar,-50.22
2012 Apr,-47.25
2012 May,-45.97
2012 Jun,-43.46
2012 Jul,-43.37
2012 Aug,-44.11
2012 Sep,-40.06
2012 Oct,-43.04
2012 Nov,-46.67
2012 Dec,-38.07
2013 Jan,-41.04
2013 Feb,-42.62
2013 Mar,-35.95
2013 Apr,-38.93
2013 May,-42.84
2013 Jun,-35.97
2013 Jul,-37.67
2013 Aug,-38.08
2013 Sep,-41.32
2013 Oct,-37.8
2013 Nov,-34.85
2013 Dec,-34.81
2014 Jan,-38.83
2014 Feb,-40.83
2014 Mar,-40.86
2014 Apr,-44.02
2014 May,-41.08
2014 Jun,-40.74
2014 Jul,-39.29
2014 Aug,-38.44
2014 Sep,-41.69
2014 Oct,-41.02
2014 Nov,-39.64
2014 Dec,-43.75
2015 Jan,-42.06
2015 Feb,-36.27
2015 Mar,-48.19
2015 Apr,-40.89
2015 May,-40.17
2015 Jun,-42.97
2015 Jul,-39.9
2015 Aug,-44.64
2015 Sep,-41.07
2015 Oct,-41.6
2015 Nov,-41.12
2015 Dec,-41.49
2016 Jan,-42.31
2016 Feb,-44.03
2016 Mar,-35.54
2016 Apr,-37.38
2016 May,-41.14
